DistrictName,ST_LEAID,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_ME_Geometry,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_School,TeacherAvgYearsExp_School,TeacherAvgYearsExpInDistrict_School,PercentageTeacherInDistrict4YearsOrMore_School,PercentageOfOutOfFieldTeachers,PercentageTeachersWithProvisionalCredentials_School,Chronic_Abs_Count,Chronic_Abs_Pct,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
Northern Valley Regional High School District,NJ-033710,2023-24,N,N,N,N,N,N,N,N,N,N,N,83.0,46.0,89.9,NA,NA,NA,NA,NA,NA,NA,NA,67.5,20.0,75.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11398625429553265,NA,10:1,83:1,238,16.2,14.4,85.7,0.8,7.1,138,6.4,21.5,2.5,57,15,10,17,17,8,14,15,8,10,573,512,509,553,2318
Northvale Public School District,NJ-033730,2023-24,43.0,63.0,41,45,30,52.5,41,35,59,75,74.5,64.5,17.9,77.0,NA,NA,NA,NA,NA,NA,NA,0.19230555555555556,57.6,21.8,67.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1398050139275766,0.11824915824915824,10:1,135:1,53,14.1,11.3,75.5,1.9,5.7,32,5.8,20.0,0.0,0,57,50,59,47,68,61,65,67,66,0,0,0,0,540
Norwood Public School District,NJ-033740,2023-24,59.0,42.0,47,43.5,78,69,61,29,15.5,67,61,77.8,29.6,87.9,NA,NA,NA,NA,NA,NA,NA,0.3691022443890274,62.7,26.8,70.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1671393643031785,0.17667673716012083,11:1,118:1,53,8.6,6.8,54.3,0,15.1,12,2.0,14.9,1.7,24,53,43,60,71,47,75,73,75,71,0,0,0,0,592
Oakland Public School District,NJ-033760,2023-24,55.5,56.0,55,50,68,55,55,67,43,60.5,64,74.9,42.3,86.0,NA,NA,NA,NA,NA,NA,NA,0.2866516853932584,58.1,27.6,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11257592800899888,0.11864265927977839,10:1,96:1,133,12.5,12.5,78.9,1.5,6.8,111,8.5,26.5,5.8,52,127,141,125,144,138,168,139,147,157,0,0,0,0,1338
Old Tappan Public School District,NJ-033850,2023-24,60.0,64.0,63,55,58,61,65,61,70,58,68.5,83.6,45.5,89.4,NA,NA,NA,NA,NA,NA,NA,0.42299798792756543,74.3,28.8,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2726746506986028,0.26528846153846153,11:1,110:1,67,18.0,15.8,85.1,0,10.4,52,6.8,13.8,0.3,11,92,60,89,64,90,80,106,90,86,0,0,0,0,768
Oradell Public School District,NJ-033870,2023-24,70.0,58.0,73,65,70.5,NA,NA,50,52,65,NA,82.3,49.2,88.0,NA,NA,NA,NA,NA,NA,NA,0.4039816933638444,72.7,30.8,80.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2158086560364465,0.2158086560364465,13:1,113:1,62,12.5,10.2,69.4,1.6,17.7,27,3.5,14.3,0.0,14,88,115,121,95,121,126,103,0,0,0,0,0,0,783
Palisades Park School District,NJ-033910,2023-24,54.0,51.0,56.5,52,76.5,60,32,49.5,48,64.5,38,36.1,17.0,38.8,NA,NA,NA,NA,NA,NA,NA,0.10388489208633093,28.6,12.5,30.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04864988558352403,0.06139020537124802,11:1,178:1,164,11.3,11.3,73.8,18.3,0.6,192,11.6,13.3,63.0,125,140,150,116,122,122,142,122,122,126,126,138,123,109,1783
Paramus Public School District,NJ-033930,2023-24,64.0,58.0,69,50.5,67,73,65,52.5,42,67,77,71.4,31.2,80.4,NA,NA,NA,NA,NA,NA,NA,0.28638554216867473,58.9,21.6,67.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15125134843581448,0.17945525291828793,11:1,139:1,337,14.1,13.2,82.2,0,8.0,345,9.9,19.7,12.4,141,232,236,275,260,254,277,253,269,314,259,272,286,274,3602
Park Ridge School District,NJ-033940,2023-24,49.0,50.0,57.5,38,47,39,72,55,56.5,48,39.5,74.1,34.8,85.0,NA,NA,NA,NA,NA,NA,NA,0.23832792207792208,66.1,29.8,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11450320512820514,0.1460612691466083,9:1,73:1,125,13.8,12.4,78.4,8.0,4.8,83,7.2,21.2,4.3,38,85,83,88,105,103,94,58,104,78,82,85,85,87,1175
Ramsey School District,NJ-034310,2023-24,50.0,50.0,57.5,81,27,51,34.5,49.5,60,47,48,72.3,33.8,79.2,NA,NA,NA,NA,NA,NA,NA,0.28305189775367934,65.3,31.5,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12945088940448568,0.15373873873873875,9:1,108:1,251,15.7,13.1,78.9,1.2,9.6,210,8.9,15.0,6.3,63,119,150,165,174,149,171,218,204,206,194,178,194,198,2383
Ridgefield School District,NJ-034370,2023-24,59.0,61.0,50,61,66,59,52,68,62,43,65,58.4,16.0,66.8,NA,NA,NA,NA,NA,NA,NA,0.17727272727272728,40.8,13.4,46.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07502777777777778,0.09003944773175541,10:1,100:1,155,16.0,13.7,84.1,0,21.9,256,18.6,26.7,37.1,71,106,96,95,125,88,103,128,116,127,116,140,126,160,1597
Ridgefield Park Public School District,NJ-034380,2023-24,48.0,56.0,55.5,60,79,25.5,24,68,43,80,35,50.2,15.8,59.1,NA,NA,NA,NA,NA,NA,NA,0.14836670179135933,36.4,14.9,41.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.043484069886947585,0.06479806138933764,11:1,125:1,196,13.1,12.2,74.5,0.5,9.7,308,15.2,19.7,42.3,108,119,129,96,107,122,132,148,127,132,219,220,233,228,2120
Ridgewood Public School District,NJ-034390,2023-24,54.0,54.0,59,68,37,52,51,52,65,52,47.5,82.8,36.9,89.6,NA,NA,NA,NA,NA,NA,NA,0.3998652849740933,69.4,27.7,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2058110396207247,0.26680755842864246,12:1,172:1,455,14.7,12.8,81.3,2.2,4.8,196,3.6,12.2,2.3,119,376,349,388,397,430,418,418,427,444,425,440,449,421,5501
River Dell Regional School District,NJ-034405,2023-24,40.0,60.0,NA,NA,NA,39.5,42,NA,NA,NA,60,80.8,30.0,89.1,NA,NA,NA,NA,NA,NA,NA,0.4109845788849348,73.7,25.2,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2027358490566038,0.31,11:1,120:1,141,15.6,13.2,87.2,1.4,5.0,79,4.9,14.8,2.2,0,0,0,0,0,0,0,0,295,274,289,261,244,204,1567
River Edge School District,NJ-034410,2023-24,59.0,57.0,58,58,65,NA,NA,71,48,55,NA,79.6,48.0,85.2,NA,NA,NA,NA,NA,NA,NA,0.3094177583697234,76.3,46.1,81.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23765804597701148,0.23765804597701148,12:1,122:1,99,12.4,9.4,76.8,0,5.1,45,3.8,17.2,0.0,29,153,145,183,175,185,177,168,0,0,0,0,0,0,1215
River Vale Public School District,NJ-034430,2023-24,57.0,50.0,71,46.5,62.5,50,52.5,72,39,51,41,80.1,45.8,86.7,NA,NA,NA,NA,NA,NA,NA,0.30992389649923896,67.7,30.8,74.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18137614678899083,0.17557553956834535,10:1,124:1,104,11.7,8.0,54.9,4.8,3.8,62,6.3,17.6,0.3,23,94,103,102,105,114,100,116,131,102,0,0,0,0,990
Rochelle Park School District,NJ-034470,2023-24,55.0,46.0,62.5,35,45,85,42,64,33.5,30.5,66,57.1,16.7,66.3,NA,NA,NA,NA,NA,NA,NA,0.16283783783783784,50.7,16.7,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07844594594594594,0.0940080971659919,10:1,96:1,49,13.3,11.9,75.5,0,4.1,47,10.2,20.0,26.3,26,45,36,52,50,46,63,49,54,59,0,0,0,0,480
Rutherford School District,NJ-034600,2023-24,55.0,63.0,43,73,55,53,60,50,72,72,60,74.9,31.2,83.3,NA,NA,NA,NA,NA,NA,NA,0.3075497215592681,62.3,26.7,69.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12652755905511812,0.15461786867599567,11:1,132:1,228,13.2,11.2,78.5,0,10.1,114,4.6,14.1,5.7,65,186,193,198,177,209,173,187,202,181,161,182,197,185,2496
Saddle Brook School District,NJ-034610,2023-24,60.0,48.0,37,60,62.5,67,64,44.5,52.5,64,42,52.0,20.8,61.7,NA,NA,NA,NA,NA,NA,NA,0.12623417721518987,38.2,13.9,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04182297154899895,0.05214388489208634,12:1,141:1,152,11.8,11.8,69.7,4.6,2.6,174,9.6,22.8,24.1,61,151,125,139,146,132,141,143,138,129,121,141,143,123,1833
Saddle River School District,NJ-034620,2023-24,63.5,66.0,64.5,63.5,NA,NA,NA,46.5,71,NA,NA,78.2,57.1,85.4,NA,NA,NA,NA,NA,NA,NA,0.32854545454545453,70.9,42.9,80.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20145454545454547,0.20145454545454547,7:1,30:1,16,14.2,10.1,62.5,12.5,6.3,8,7.4,14.4,0.0,13,20,14,17,22,14,18,0,0,0,0,0,0,0,118
South Hackensack School District,NJ-034870,2023-24,59.0,38.0,29.5,67.5,92,52,59,31,58.5,54,29,74.4,19.2,85.1,NA,NA,NA,NA,NA,NA,NA,0.3366242038216561,42.2,15.4,47.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.031118012422360248,0.04040322580645161,9:1,40:1,27,15.5,13.4,84.6,3.7,0,18,7.9,15.3,40.5,13,30,19,26,26,27,17,22,26,36,0,0,0,0,242
Teaneck School District,NJ-035150,2023-24,46.0,41.0,53,32,58,39,46,40,41,40,47,50.6,18.1,59.2,NA,NA,NA,NA,NA,NA,NA,0.13934040047114252,33.8,15.3,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.050532715691951356,0.0524190800681431,10:1,89:1,384,12.1,11.0,71.1,4.9,11.1,634,18.4,19.7,38.7,377,222,206,219,213,223,232,259,257,259,300,319,342,301,3729
Tenafly Public School District,NJ-035160,2023-24,54.0,54.0,57,40,55,54,63,57.5,44,59,52,81.3,40.5,90.5,NA,NA,NA,NA,NA,NA,NA,0.39924356223175966,77.6,41.4,85.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2531227529532615,0.2818097447795824,11:1,144:1,314,14.7,12.2,80.1,2.2,7.0,118,3.4,17.9,3.0,23,163,193,235,247,217,278,302,313,310,274,292,297,295,3439
Upper Saddle River School District,NJ-035330,2023-24,46.0,60.0,62.5,58,39,36.5,42.5,64,72,46,62,79.9,46.7,86.2,NA,NA,NA,NA,NA,NA,NA,0.29916554508748316,78.7,44.2,85.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24123655913978498,0.23926163723916533,10:1,111:1,115,12.7,10.0,67.0,0.9,14.8,58,5.4,15.0,0.6,28,104,109,110,131,116,116,150,115,121,0,0,0,0,1100
Waldwick School District,NJ-035410,2023-24,53.0,48.0,44,43,36,70,66.5,46,66,36,49,72.1,25.3,82.3,NA,NA,NA,NA,NA,NA,NA,0.2799078341013825,66.9,20.6,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16954602774274904,0.15507961783439492,10:1,133:1,153,13.4,12.6,79.6,0.7,14.4,122,7.8,18.6,1.1,53,115,109,122,111,123,143,127,130,130,121,102,102,103,1591
Wallington Boro School District,NJ-035430,2023-24,52.0,49.5,45,45,82,35,47,55,41,70,29,57.0,21.5,63.3,NA,NA,NA,NA,NA,NA,NA,0.1780188679245283,43.5,21.1,47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042354740061162084,0.05905077262693157,13:1,132:1,94,11.5,10.8,70.2,1.1,5.3,140,11.5,12.3,34.3,9,86,79,92,98,79,84,91,97,96,100,86,97,97,1191
Westwood Regional School District,NJ-035755,2023-24,45.0,47.0,60,56.5,32,49,30,62,59.5,38,40,69.3,25.9,79.8,NA,NA,NA,NA,NA,NA,NA,0.24402902557014514,58.1,23.2,66.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11842975206611571,0.15506666666666666,11:1,117:1,259,12.4,11.1,74.5,0.4,7.7,278,10.1,18.2,9.5,55,210,219,231,210,195,194,232,233,218,184,202,198,195,2776
Wood-Ridge School District,NJ-035830,2023-24,37.0,43.0,44,35,89.5,16,18,48.5,43,62,24,61.3,20.3,71.3,NA,NA,NA,NA,NA,NA,NA,0.19268976897689769,50.2,21.4,57.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09122749590834697,0.12582392776523701,12:1,140:1,103,10.5,10.5,74.8,1.9,2.9,149,11.7,17.3,18.8,29,124,112,123,105,86,68,88,99,76,88,78,113,70,1259
Woodcliff Lake School District,NJ-035880,2023-24,58.5,55.0,71.5,71.5,42,70,36.5,53,60,46,68,85.5,55.1,91.9,NA,NA,NA,NA,NA,NA,NA,0.4222134387351779,74.7,31.5,83.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23205940594059404,0.2050886075949367,11:1,98:1,73,11.1,8.5,65.8,12.3,0,23,3.1,17.2,1.0,26,89,75,80,80,88,78,85,77,106,0,0,0,0,784
Wyckoff Township Public School District,NJ-035920,2023-24,51.0,49.0,61.5,66,52,31,48,53,31,44,63,71.4,36.7,78.4,NA,NA,NA,NA,NA,NA,NA,0.21916340891321345,62.0,28.4,68.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09767315175097277,0.09651075771749298,11:1,169:1,187,11.2,10.4,68.4,0,0,170,8.5,16.8,0.2,39,202,218,266,238,243,202,205,205,204,0,0,0,0,2022
Beverly City School District,NJ-050380,2023-24,40.5,44.0,38,42,45,49,27,38.5,20,46.5,53,45.5,<10%,54.5,NA,NA,NA,NA,NA,NA,NA,0.0780110497237569,31.5,<10%,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016612021857923497,0.019119496855345912,9:1,85:1,37,6.3,6.3,51.4,13.5,2.7,63,21.4,14.4,60.9,49,39,30,38,39,23,29,35,35,23,0,0,0,0,340
Bordentown Regional School District,NJ-050475,2023-24,37.0,47.0,41.5,44,25,29,41,36.5,57,38,51,48.0,21.1,56.9,NA,NA,NA,NA,NA,NA,NA,0.08954624781849913,48.5,22.6,56.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07703220191470844,0.09678117048346056,12:1,117:1,192,11.5,11.5,77.1,1.6,5.7,213,9.8,24.3,17.8,83,133,132,145,169,148,154,177,167,169,193,202,177,179,2228
Burlington City Public School District,NJ-050600,2023-24,58.0,52.0,37,58,73,69,51.5,48,61,46.5,50,32.8,10.2,42.6,NA,NA,NA,NA,NA,NA,NA,0.05865546218487395,17.2,<10%,20.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009809750297265161,0.009928186714542191,10:1,105:1,182,13.2,12.2,73.1,0.5,2.2,322,19.9,23.7,68.1,179,112,140,126,121,123,109,91,104,109,170,138,118,145,1785
Burlington Township School District,NJ-050620,2023-24,42.0,48.0,39,38,40,48,47,38,49,48,57,42.6,10.0,49.3,NA,NA,NA,NA,NA,NA,NA,0.05586992773763202,33.4,<10%,38.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04707076247942951,0.046109803921568625,11:1,147:1,327,14.8,13.0,77.1,0.6,8.3,449,13.0,15.8,32.4,245,235,209,222,225,266,269,265,277,276,274,292,307,298,3660
Chesterfield Township School District,NJ-050830,2023-24,53.5,43.5,56,38,62,NA,NA,45,38,50,NA,51.7,22.5,60.2,NA,NA,NA,NA,NA,NA,NA,0.0771571072319202,52.3,23.6,60.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09678217821782178,0.09678217821782178,11:1,116:1,65,12.8,9.4,78.5,3.1,7.7,53,8.0,23.9,2.7,29,87,79,85,100,103,109,102,0,0,0,0,0,0,694
Cinnaminson Township School District,NJ-050840,2023-24,49.0,52.0,45.5,55,58,44,44,51,69,48,41,59.9,23.7,67.8,NA,NA,NA,NA,NA,NA,NA,0.16488948425987945,53.3,22.9,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0770788770053476,0.10198656429942418,12:1,122:1,251,13.1,12.6,80.3,10.8,8.4,291,10.1,17.4,17.0,58,233,220,207,218,196,214,205,238,230,228,247,228,207,2929
Delanco Township School District,NJ-051030,2023-24,46.5,58.0,37,67,47.5,51,36.5,35.5,85,58,54,22.3,<10%,26.2,NA,NA,NA,NA,NA,NA,NA,0.017426160337552742,16.2,<10%,18.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.004322033898305085,0.005340314136125655,14:1,119:1,26,13.4,12.7,65.4,11.5,3.8,50,14.1,20.5,44.1,10,42,37,31,41,38,34,41,33,49,0,0,0,0,356
Delran Township School District,NJ-051060,2023-24,51.0,53.0,51,66.5,44,38,52.5,47,53,58,50,46.5,20.2,52.7,NA,NA,NA,NA,NA,NA,NA,0.10515950069348126,35.0,18.8,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03533650577838205,0.045489021956087825,11:1,136:1,268,12.4,9.9,70.5,0.7,1.1,247,8.8,18.6,24.6,71,193,205,207,180,209,187,213,237,231,234,237,206,242,2852
Eastampton Township School District,NJ-051250,2023-24,37.0,50.0,36,42,40,32,39,28,55.5,63,54,38.7,13.5,49.6,NA,NA,NA,NA,NA,NA,NA,0.04427745664739884,36.3,16.2,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05285302593659942,0.05986206896551724,11:1,116:1,53,11.2,11.1,60.4,5.7,13.2,74,13.7,22.3,22.5,51,61,67,60,55,60,59,50,60,59,0,0,0,0,582
Edgewater Park Township School District,NJ-051280,2023-24,61.0,43.0,59,29.5,62,65,78,59.5,38.5,29.5,59,36.1,11.5,41.9,NA,NA,NA,NA,NA,NA,NA,0.042302158273381296,25.6,10.6,29.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01597222222222222,0.016790123456790124,12:1,131:1,84,12.4,9.7,65.1,2.4,7.1,129,14.1,17.8,53.7,108,102,128,97,86,99,100,104,108,107,0,0,0,0,1039
Evesham Township School District,NJ-051420,2023-24,44.0,50.0,51,38,40.5,45,44,47,47,51,56,50.4,23.0,59.4,NA,NA,NA,NA,NA,NA,NA,0.09942816801976703,47.0,24.8,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06061711079943899,0.07152413209144792,13:1,239:1,342,7.8,5.8,51.3,2.0,3.2,410,9.4,25.9,9.7,239,436,454,474,466,501,491,473,491,509,0,0,0,0,4534
Florence Township School District,NJ-051520,2023-24,29.0,41.0,35,30,36,27,24,55.5,40,26,39,29.4,<10%,34.6,NA,NA,NA,NA,NA,NA,NA,0.05303860523038606,26.7,12.3,30.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01954433497536946,0.017724014336917563,10:1,166:1,151,12.0,11.1,71.5,7.3,11.9,71,5.0,19.4,38.5,81,68,83,89,81,115,117,131,132,129,135,101,117,118,1497
Hainesport Township School District,NJ-051910,2023-24,37.0,47.0,50,22,36.5,42,39,70.5,47.5,28.5,52,43.5,<10%,54.2,NA,NA,NA,NA,NA,NA,NA,0.0656969696969697,48.3,17.1,57.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08293939393939394,0.08885931558935362,10:1,106:1,54,12.6,10.3,66.7,0,16.7,85,17.1,23.0,16.4,31,55,44,63,59,46,64,47,53,68,0,0,0,0,530
Lumberton Township Board of Education,NJ-052850,2023-24,40.0,47.0,59,39.5,20,43,46,54,41,34,52,38.6,<10%,49.8,NA,NA,NA,NA,NA,NA,NA,0.0648291233283804,28.4,<10%,36.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036222222222222225,0.038700361010830325,12:1,119:1,98,14.4,12.9,65.3,0,2.1,158,15.0,21.8,29.0,157,118,118,119,97,119,106,115,124,121,0,0,0,0,1194
Mansfield Township School District,NJ-052960,2023-24,62.0,64.0,67,48,66,NA,NA,73,34,68.5,NA,78.4,39.6,87.6,NA,NA,NA,NA,NA,NA,NA,0.28327402135231317,61.3,29.6,68.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13145390070921986,0.13145390070921986,10:1,93:1,58,12.8,12.8,84.5,1.7,0,43,8.3,19.8,7.0,31,88,61,81,75,77,67,73,0,0,0,0,0,0,553
Maple Shade School District,NJ-053010,2023-24,40.0,48.0,48,40,43,30.5,39.5,48,43.5,49.5,53,28.8,<10%,36.2,NA,NA,NA,NA,NA,NA,NA,0.033472906403940884,16.4,<10%,20.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008786644951140066,0.012055865921787711,11:1,126:1,222,10.5,9.9,73.3,0.9,12.2,403,18.2,21.0,49.0,182,172,197,191,175,189,179,176,171,171,163,170,134,123,2393
Medford Lakes School District,NJ-053070,2023-24,62.0,59.5,58,68.5,82.5,65.5,42.5,41,62,82.5,57,74.7,25.9,85.2,NA,NA,NA,NA,NA,NA,NA,0.22562500000000002,54.6,10.9,64.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04549342105263158,0.05810924369747899,10:1,121:1,48,11.2,9.9,68.8,4.2,18.8,32,6.9,17.8,2.1,22,40,44,56,44,51,49,49,59,69,0,0,0,0,483
Medford Township School District,NJ-053080,2023-24,43.0,40.0,58,54,46,33,33,53,54,27,33,65.7,32.2,77.6,NA,NA,NA,NA,NA,NA,NA,0.20628108733371892,57.0,29.8,66.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11273726851851852,0.13223146223146223,12:1,167:1,236,12.6,12.5,79.1,5.1,6.8,226,8.5,25.4,6.7,156,295,276,319,290,311,299,294,287,289,0,0,0,0,2816
Moorestown Township Public School District,NJ-053360,2023-24,43.0,55.0,30,44.5,55,42,39,33,42.5,60,74,70.9,33.3,82.7,NA,NA,NA,NA,NA,NA,NA,0.2723009281875916,69.0,34.6,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18952007835455437,0.20737796373779638,11:1,151:1,350,14.5,12.6,80.9,1.4,6.9,279,7.3,21.5,9.1,100,243,272,266,269,278,292,321,303,314,301,300,327,331,3917
Mount Holly Township Public School District,NJ-053430,2023-24,48.0,53.0,43,35,51,58,48,44,26.5,73,64,33.0,<10%,39.0,NA,NA,NA,NA,NA,NA,NA,0.05095808383233533,30.6,<10%,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030163934426229506,0.03666666666666667,11:1,116:1,107,10.5,10.5,77.6,1.9,2.8,141,13.7,18.6,54.6,133,113,110,121,105,123,113,96,116,118,0,0,0,0,1148
Mount Laurel Township School District,NJ-053440,2023-24,48.0,46.5,55,59,56,35,34,44,43,51.5,46,56.5,19.6,64.5,NA,NA,NA,NA,NA,NA,NA,0.13806991446634437,47.3,20.7,53.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07743884358784285,0.07710191082802548,12:1,198:1,376,11.9,11.5,71.8,0.5,5.3,468,11.6,18.7,16.1,343,399,429,431,479,462,437,462,461,462,0,0,0,0,4365
New Hanover Township,NJ-053540,2023-24,42.5,42.0,46,35,34.5,62,40.5,55,18,41,51.5,27.5,11.1,31.0,NA,NA,NA,NA,NA,NA,NA,0.038207547169811326,22.3,11.1,24.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018691588785046728,0.02247191011235955,9:1,62:1,20,17.6,12.4,75.0,5.0,0,34,19.2,17.2,49.5,15,14,26,20,20,18,15,23,16,19,0,0,0,0,186
North Hanover Township School District,NJ-053650,2023-24,49.5,57.0,46.5,35,64.5,NA,NA,56.5,45,66.5,NA,47.8,19.6,54.1,NA,NA,NA,NA,NA,NA,NA,0.07047377326565145,39.9,21.7,43.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04037351443123939,0.04037351443123939,10:1,139:1,145,12.1,10.5,65.0,0.7,4.8,138,12.8,16.5,30.0,298,151,165,173,167,152,143,128,0,0,0,0,0,0,1377
Northern Burlington County Regional School District,NJ-053690,2023-24,32.0,59.0,NA,NA,NA,31,35,NA,NA,NA,59,55.4,19.8,63.1,NA,NA,NA,NA,NA,NA,NA,0.1498871119473189,51.2,19.8,58.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06964015151515152,0.17,12:1,123:1,174,13.3,11.1,75.3,2.9,6.9,398,18.9,17.2,14.6,0,0,0,0,0,0,0,0,381,332,365,330,333,342,2083
Palmyra Public School District,NJ-053920,2023-24,44.0,35.0,44.5,53.5,19,47,45,38,57,19,38,40.4,13.2,47.2,NA,NA,NA,NA,NA,NA,NA,0.09214912280701755,28.2,<10%,33.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018702460850111857,0.02151315789473684,11:1,130:1,92,12.2,10.8,73.9,4.3,9.8,160,16.4,17.3,38.9,89,51,72,60,57,52,66,67,60,56,101,95,106,109,1041
Pemberton Township School District,NJ-054050,2023-24,40.0,41.0,40,35.5,36,33,61.5,36,43,54,30,28.4,<10%,35.0,NA,NA,NA,NA,NA,NA,NA,0.04500739280433712,18.8,<10%,22.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010906826108619832,0.009700399467376832,12:1,130:1,372,14.9,13.4,82.8,1.6,11.3,870,23.2,20.6,62.0,549,310,325,301,290,330,307,281,296,281,248,272,246,252,4288
Riverside Township School District,NJ-054450,2023-24,46.0,53.5,55.5,59,22,47.5,42.5,55,56,42,58,22.7,<10%,26.4,NA,NA,NA,NA,NA,NA,NA,0.02564207650273224,14.2,<10%,15.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007111111111111111,0.010092764378478664,12:1,143:1,129,13.4,12.8,79.8,0.8,16.3,289,19.6,17.1,56.6,113,119,125,114,115,98,115,98,107,96,146,121,113,97,1577
Riverton School District,NJ-054460,2023-24,29.5,45.0,68,30,15,46.5,13.5,55,31,48,47.5,59.2,39.5,64.7,NA,NA,NA,NA,NA,NA,NA,0.1585227272727273,48.6,35.1,52.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07028571428571428,0.08482758620689655,9:1,86:1,28,15.6,12.4,75.0,0,0,16,6.4,18.5,13.5,6,30,20,28,26,34,26,26,34,29,0,0,0,0,259
Shamong Township School District,NJ-054740,2023-24,59.5,68.0,49.5,58,53,64,62,65,65,76,63,63.2,34.3,71.4,NA,NA,NA,NA,NA,NA,NA,0.1915948275862069,53.0,24.5,61.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09350649350649351,0.10663129973474801,11:1,112:1,62,12.3,10.6,75.8,1.6,8.1,45,6.8,20.9,7.7,9,54,68,65,86,75,71,70,81,87,0,0,0,0,666
