ST_LEAID,SchoolYear,DistrictName,TotalEnrollment
NJ-353670,2014-2015,NORTH PLAINFIELD BORO,3289.5
NJ-354805,2014-2015,SOMERSET CO ED SERV COMM,163
NJ-354810,2014-2015,SOMERSET CO VOCATIONAL,443.5
NJ-354815,2014-2015,SOMERSET HILLS REGIONAL,2036.5
NJ-354820,2014-2015,SOMERVILLE BORO,2397
NJ-354850,2014-2015,SOUTH BOUND BROOK,465
NJ-355470,2014-2015,WARREN TWP,1839
NJ-355540,2014-2015,WATCHUNG BORO,690
NJ-355550,2014-2015,WATCHUNG HILLS REGIONAL,2197.5
NJ-370090,2014-2015,ANDOVER REG,559
NJ-370640,2014-2015,BYRAM TWP,896
NJ-371560,2014-2015,FRANKFORD TWP,547
NJ-371570,2014-2015,FRANKLIN BORO,458
NJ-371630,2014-2015,FREDON TWP,250
NJ-371800,2014-2015,GREEN TWP,470
NJ-371930,2014-2015,HAMBURG BORO,270
NJ-371980,2014-2015,HAMPTON TWP,317
NJ-372030,2014-2015,HARDYSTON TWP,743
NJ-372165,2014-2015,HIGH POINT REGIONAL,998.5
NJ-372240,2014-2015,HOPATCONG,1669
NJ-372465,2014-2015,KITTATINNY REGIONAL,1074
NJ-372490,2014-2015,LAFAYETTE TWP,253
NJ-372615,2014-2015,LENAPE VALLEY REGIONAL,821
NJ-373300,2014-2015,MONTAGUE TWP,218
NJ-373590,2014-2015,NEWTON TOWN,1556
NJ-373840,2014-2015,OGDENSBURG BORO,264
NJ-374650,2014-2015,SANDYSTON-WALPACK TWP,145
NJ-374960,2014-2015,SPARTA TWP,3290.5
NJ-375030,2014-2015,STANHOPE BORO,318
NJ-375040,2014-2015,STILLWATER TWP,348
NJ-375100,2014-2015,SUSSEX-WANTAGE REGIONAL,1147
NJ-375105,2014-2015,SUSSEX CO ED SERV COMM,38
NJ-375110,2014-2015,SUSSEX COUNTY VOCATIONAL,765.5
NJ-375360,2014-2015,VERNON TWP,3328
NJ-375435,2014-2015,WALLKILL VALLEY REGIONAL,654.5
NJ-390310,2014-2015,BERKELEY HEIGHTS TWP,2665
NJ-390850,2014-2015,CLARK TWP,2313
NJ-390980,2014-2015,CRANFORD TWP,3872
NJ-391320,2014-2015,ELIZABETH CITY,25608
NJ-391710,2014-2015,GARWOOD BORO,372
NJ-392190,2014-2015,HILLSIDE TWP,3085
NJ-392420,2014-2015,KENILWORTH BORO,1409
NJ-392660,2014-2015,LINDEN CITY,6027.5
NJ-393395,2014-2015,MORRIS-UNION JOINTURE COM,257
NJ-393470,2014-2015,MOUNTAINSIDE BORO,735
NJ-393560,2014-2015,NEW PROVIDENCE BORO,2345.5
NJ-394160,2014-2015,PLAINFIELD CITY,7559.5
NJ-394290,2014-2015,RAHWAY CITY,3744.5
NJ-394540,2014-2015,ROSELLE BORO,2722
NJ-394550,2014-2015,ROSELLE PARK BORO,1965
NJ-394670,2014-2015,SCOTCH PLAINS-FANWOOD REG,5457
NJ-395000,2014-2015,SPRINGFIELD TWP,2283
NJ-395090,2014-2015,SUMMIT CITY,4060.5
NJ-395245,2014-2015,UNION CO ED SERV COMM,338
NJ-395260,2014-2015,UNION COUNTY VOCATIONAL,1639
NJ-395290,2014-2015,UNION TWP,7475.5
NJ-395730,2014-2015,WESTFIELD TOWN,6253
NJ-395810,2014-2015,WINFIELD TWP,153
NJ-410030,2014-2015,ALLAMUCHY TWP,432
NJ-410070,2014-2015,ALPHA BORO,224
NJ-410280,2014-2015,BELVIDERE TOWN,763
NJ-410400,2014-2015,BLAIRSTOWN TWP,544
NJ-411620,2014-2015,FRANKLIN TWP,230
NJ-411670,2014-2015,FRELINGHUYSEN TWP,149
NJ-411785,2014-2015,GREAT MEADOWS REGIONAL,760
NJ-411840,2014-2015,GREENWICH TWP,808
NJ-411870,2014-2015,HACKETTSTOWN,1891
NJ-412040,2014-2015,HARMONY TWP,252
NJ-412250,2014-2015,HOPE TWP,170
NJ-412470,2014-2015,KNOWLTON TWP,220
NJ-412790,2014-2015,LOPATCONG TWP,831
NJ-412970,2014-2015,MANSFIELD TWP,696
NJ-413675,2014-2015,NORTH WARREN REGIONAL,911
NJ-413890,2014-2015,OXFORD TWP,306
NJ-414100,2014-2015,PHILLIPSBURG TOWN,3721.5
NJ-414200,2014-2015,POHATCONG TWP,321
NJ-415450,2014-2015,WARREN CO SPECIAL SERVICE,33
NJ-415460,2014-2015,WARREN COUNTY VOCATIONAL,484
NJ-415465,2014-2015,WARREN HILLS REGIONAL,1886
NJ-415480,2014-2015,WASHINGTON BORO,563
NJ-415530,2014-2015,WASHINGTON TWP,517
NJ-415780,2014-2015,WHITE TWP,315
NJ-806010,2014-2015,Academy Charter High School,195.5
NJ-806013,2014-2015,Bergen Arts and Sciences CS,959
NJ-806017,2014-2015,Foundation Academy CS,788
NJ-806018,2014-2015,Central Jersey College Prep CS,316
NJ-806020,2014-2015,Pride Academy Charter School,264
NJ-806021,2014-2015,Community Charter School of Paterso,810
NJ-806022,2014-2015,Burch Charter School of Excellence,357
NJ-806024,2014-2015,Camden's Pride Charter Schhol,239
NJ-806025,2014-2015,Paul Robeson Humanities  CS,373
NJ-806026,2014-2015,Riverbank Charter School of Excelle,144
NJ-806028,2014-2015,Vineland Public Charter School,300
NJ-806029,2014-2015,Newark Educators Charter School,314
NJ-806030,2014-2015,The Ethical Community Charter Schoo,307
NJ-806032,2014-2015,Academy for Urban Leadership CS,386
NJ-806033,2014-2015,The Barack Obama Green Charter High,233
NJ-806036,2014-2015,HOLA Hoboken Dual Lang CS,291
NJ-806037,2014-2015,Newark Legacy CS,610
NJ-806041,2014-2015,Hatikvah International CS,298
NJ-806053,2014-2015,Great Oaks Charter School,352
NJ-806057,2014-2015,People's Preparatory Charter School,370
NJ-806058,2014-2015,Roseville Community CS,320
NJ-806059,2014-2015,Newark Prep,411
NJ-806060,2014-2015,Atlantic City Community Charter School,150
NJ-806063,2014-2015,JCamden Community Charter School,398
NJ-806064,2014-2015,Dr Lena Edwards Academic CS,369
NJ-806067,2014-2015,Kingdom CS of Leadership,201
NJ-806068,2014-2015,M E T S Charter School,534
NJ-806069,2014-2015,Millville Public Charter School,216
NJ-806076,2014-2015,Benjamin Banneker Prep CS,147
NJ-806079,2014-2015,John P Holland Charter School,199
NJ-806080,2014-2015,Passaic Arts and Science CS,536
NJ-806081,2014-2015,Thomas Edison EnergySmart CS,296
NJ-806082,2014-2015,Beloved Community Charter School,598
NJ-806083,2014-2015,Knowledge A to Z Charter School,320
NJ-806086,2014-2015,Hope Community CS,170
NJ-806089,2014-2015,Compass Academy CS,145
NJ-806090,2014-2015,Paulo Freire CS for Liberty Ed,197
NJ-806091,2014-2015,Merit Prep CS of Newark,327
NJ-806093,2014-2015,Jersey City Global CS,233
NJ-806094,2014-2015,Phillip's Academy Charter School,372
NJ-806096,2014-2015,Paterson Arts and Science Charter School,420
NJ-806099,2014-2015,Link Community Charter School,215
NJ-806182,2014-2015,International Academy of Trenton CS,351
NJ-806183,2014-2015,Trenton Stem-to-Civics CS,101
NJ-806184,2014-2015,Great Futures Charter HS for the Health Sciences,125
NJ-806212,2014-2015,Camden Academy Charter HS,466
NJ-806215,2014-2015,Camden's Promise CS,465
NJ-806217,2014-2015,Central Jersey Arts CS,403
NJ-806230,2014-2015,Classical Academy CS of Clifton,8
NJ-806232,2014-2015,Environment Community CS,221
NJ-806240,2014-2015,Freedom Academy CS,667
NJ-806320,2014-2015,Discovery CS,74
NJ-806410,2014-2015,East Orange Community CS,495
NJ-806420,2014-2015,Elysian CS of Hoboken,290
NJ-806430,2014-2015,Englewood on the Palisades CS,204
NJ-806612,2014-2015,Galloway Community CS,232
NJ-806635,2014-2015,Greater Brunswick CS,381
NJ-806665,2014-2015,Gray CS,326
NJ-806720,2014-2015,Hoboken CS,287
NJ-806740,2014-2015,Hope Academy CS,203
NJ-806810,2014-2015,International CS of Trenton,90
NJ-806910,2014-2015,Jersey City Comm. CS,579
NJ-806915,2014-2015,Jersey City Golden Door,532
NJ-807100,2014-2015,Lady Liberty Academy CS,444
NJ-807109,2014-2015,LEAP Academy University CS,1378
NJ-807115,2014-2015,Learning Community CS,581
NJ-807210,2014-2015,Marion P. Thomas CS,1175
NJ-807290,2014-2015,New Horizons Comm. CS,479
NJ-807320,2014-2015,North Star Acad. CS of Newark,3403
NJ-807325,2014-2015,TEAM Academy Charter School,2729
NJ-807410,2014-2015,chARTer~TECH HIGH SCHOOL,338
NJ-807500,2014-2015,Pace CS of Hamilton,221
NJ-807503,2014-2015,Paterson CS for Sci/Tech,1046
NJ-807540,2014-2015,Princeton CS,348
NJ-807600,2014-2015,Queen City Academy CS,248
NJ-807720,2014-2015,The Red Bank CS,193
NJ-807727,2014-2015,Ridge and Valley CS,125
NJ-807730,2014-2015,Robert Treat Academy CS,625
NJ-807735,2014-2015,Maria L. Varisco-Rogers CS,520
NJ-807830,2014-2015,Soaring Heights CS,236
NJ-807850,2014-2015,Sussex County CS for Technology,225
NJ-807890,2014-2015,Teaneck Community CS,306
NJ-808010,2014-2015,Union County TEAMS CS,338
NJ-808050,2014-2015,Unity CS,202
NJ-808060,2014-2015,University Academy CS,423
NJ-808065,2014-2015,University Heights CS,547
NJ-808140,2014-2015,Village CS,359
NJ-010010,2013-2014,ABSECON CITY,864
NJ-010110,2013-2014,ATLANTIC CITY,7309.5
NJ-010120,2013-2014,ATLANTIC CO VOCATIONAL,1210
NJ-010125,2013-2014,ATLANTIC CO SPECIAL SERV,411
NJ-010570,2013-2014,BRIGANTINE CITY,718
NJ-010590,2013-2014,BUENA REGIONAL,2038.5
NJ-011300,2013-2014,EGG HARBOR CITY,491
NJ-011310,2013-2014,EGG HARBOR TWP,7646.5
NJ-011410,2013-2014,ESTELL MANOR CITY,181
NJ-011540,2013-2014,FOLSOM BORO,433
NJ-011690,2013-2014,GALLOWAY TWP,3336
NJ-011790,2013-2014,GREATER EGG HARBOR REG,3483
NJ-011940,2013-2014,HAMILTON TWP,3186
NJ-011960,2013-2014,HAMMONTON TOWN,3630.5
NJ-012680,2013-2014,LINWOOD CITY,863
NJ-012910,2013-2014,MAINLAND REGIONAL,1418
NJ-013020,2013-2014,MARGATE CITY,456
NJ-013480,2013-2014,MULLICA TWP,757
NJ-013720,2013-2014,NORTHFIELD CITY,980
NJ-014180,2013-2014,PLEASANTVILLE CITY,3769
NJ-014240,2013-2014,PORT REPUBLIC CITY,126
NJ-014800,2013-2014,SOMERS POINT CITY,1068
NJ-015350,2013-2014,VENTNOR CITY,818
NJ-015760,2013-2014,WEYMOUTH TWP,192
NJ-030040,2013-2014,ALLENDALE BORO,898
NJ-030080,2013-2014,ALPINE BORO,163
NJ-030285,2013-2014,BERGEN CO SPECIAL SERVICE,707.5
NJ-030290,2013-2014,BERGEN COUNTY VOCATIONAL,2145.5
NJ-030300,2013-2014,BERGENFIELD BORO,3505
NJ-030440,2013-2014,BOGOTA BORO,1096.5
NJ-030740,2013-2014,CARLSTADT BORO,594
NJ-030745,2013-2014,CARLSTADT-EAST RUTHERFORD,492
NJ-030890,2013-2014,CLIFFSIDE PARK BORO,2901
NJ-030930,2013-2014,CLOSTER BORO,1118
NJ-030990,2013-2014,CRESSKILL BORO,1754.5
NJ-031070,2013-2014,DEMAREST BORO,685
NJ-031130,2013-2014,DUMONT BORO,2601
NJ-031230,2013-2014,EAST RUTHERFORD BORO,761
NJ-031270,2013-2014,EDGEWATER BORO,603
NJ-031345,2013-2014,ELMWOOD PARK,2521
NJ-031360,2013-2014,EMERSON BORO,1199
NJ-031370,2013-2014,ENGLEWOOD CITY,3026.5
NJ-031380,2013-2014,ENGLEWOOD CLIFFS BORO,509
NJ-031450,2013-2014,FAIR LAWN BORO,4653.5
NJ-031470,2013-2014,FAIRVIEW BORO,1269
NJ-031550,2013-2014,FORT LEE BORO,3766
NJ-031580,2013-2014,FRANKLIN LAKES BORO,1276
NJ-031700,2013-2014,GARFIELD CITY,4737
NJ-031760,2013-2014,GLEN ROCK BORO,2388
NJ-031860,2013-2014,HACKENSACK CITY,5423.5
NJ-032050,2013-2014,HARRINGTON PARK BORO,639
NJ-032080,2013-2014,HASBROUCK HEIGHTS BORO,1870
NJ-032090,2013-2014,HAWORTH BORO,436
NJ-032180,2013-2014,HILLSDALE BORO,1300
NJ-032200,2013-2014,HO HO KUS BORO,660
NJ-032620,2013-2014,LEONIA BORO,1810.5
NJ-032710,2013-2014,LITTLE FERRY BORO,1001
NJ-032740,2013-2014,LODI BOROUGH,3316.5
NJ-032860,2013-2014,LYNDHURST TWP,2320
NJ-032900,2013-2014,MAHWAH TWP,3164
NJ-033060,2013-2014,MAYWOOD BORO,958
NJ-033170,2013-2014,MIDLAND PARK BORO,1004.5
NJ-033330,2013-2014,MONTVALE BORO,1041
NJ-033350,2013-2014,MOONACHIE BORO,282
NJ-033550,2013-2014,NEW MILFORD BORO,2006.5
NJ-033600,2013-2014,NORTH ARLINGTON BORO,1761
NJ-033700,2013-2014,NORTHERN HIGHLANDS REG,1348
NJ-033710,2013-2014,NORTHERN VALLEY REGIONAL,2546
NJ-033730,2013-2014,NORTHVALE BORO,474
NJ-033740,2013-2014,NORWOOD BORO,589
NJ-033760,2013-2014,OAKLAND BORO,1598
NJ-033850,2013-2014,OLD TAPPAN BORO,753
NJ-033870,2013-2014,ORADELL BORO,769
NJ-033910,2013-2014,PALISADES PARK,1617
NJ-033930,2013-2014,PARAMUS BORO,3926
NJ-033940,2013-2014,PARK RIDGE BORO,1285.5
NJ-033960,2013-2014,PASCACK VALLEY REGIONAL,2057
NJ-034300,2013-2014,RAMAPO-INDIAN HILL REG,2308
NJ-034310,2013-2014,RAMSEY BORO,2934
NJ-034370,2013-2014,RIDGEFIELD BORO,1766.5
NJ-034380,2013-2014,RIDGEFIELD PARK TWP,2318
NJ-034390,2013-2014,RIDGEWOOD VILLAGE,5721.5
NJ-034405,2013-2014,RIVER DELL REGIONAL,1663
NJ-034410,2013-2014,RIVER EDGE BORO,1159
NJ-034430,2013-2014,RIVER VALE TWP,1264
NJ-034470,2013-2014,ROCHELLE PARK TWP,455
NJ-034600,2013-2014,RUTHERFORD BORO,2488
NJ-034610,2013-2014,SADDLE BROOK TWP,1651.5
NJ-034620,2013-2014,SADDLE RIVER BORO,201
NJ-034845,2013-2014,SOUTH BERGEN JOINTURE COM,294
NJ-034870,2013-2014,SOUTH HACKENSACK TWP,253
NJ-035150,2013-2014,TEANECK TWP,3702
NJ-035160,2013-2014,TENAFLY BORO,3584
NJ-035330,2013-2014,UPPER SADDLE RIVER BORO,1305
NJ-035410,2013-2014,WALDWICK BORO,1592
NJ-035430,2013-2014,WALLINGTON BORO,1165.5
NJ-035755,2013-2014,WESTWOOD REGIONAL,2687
NJ-035830,2013-2014,WOOD-RIDGE BORO,1136
NJ-035880,2013-2014,WOODCLIFF LAKE BORO,766
NJ-035920,2013-2014,WYCKOFF TWP,2143
NJ-050200,2013-2014,BASS RIVER TWP,112
NJ-050380,2013-2014,BEVERLY CITY,295
NJ-050475,2013-2014,BORDENTOWN REGIONAL,2560
NJ-050600,2013-2014,BURLINGTON CITY,1735
NJ-050605,2013-2014,BURLINGTON CO SPEC SERV,586
NJ-050610,2013-2014,BURLINGTON CO VOCATIONAL,2061
NJ-050620,2013-2014,BURLINGTON TWP,4042
NJ-050830,2013-2014,CHESTERFIELD TWP,689
NJ-050840,2013-2014,CINNAMINSON TWP,2354
NJ-051030,2013-2014,DELANCO TWP,390
NJ-051060,2013-2014,DELRAN TWP,2950
NJ-051250,2013-2014,EASTAMPTON TWP,612
NJ-051280,2013-2014,EDGEWATER PARK TWP,868
NJ-051420,2013-2014,EVESHAM TWP,4595
NJ-051520,2013-2014,FLORENCE TWP,1609
NJ-051910,2013-2014,HAINESPORT TWP,669
NJ-052610,2013-2014,LENAPE REGIONAL,6976
NJ-052850,2013-2014,LUMBERTON TWP,1502
NJ-052960,2013-2014,MANSFIELD TWP,714
NJ-053010,2013-2014,MAPLE SHADE TWP,2163
NJ-053070,2013-2014,MEDFORD LAKES BORO,527
NJ-053080,2013-2014,MEDFORD TWP,2803
NJ-053360,2013-2014,MOORESTOWN TWP,3959
NJ-053430,2013-2014,MOUNT HOLLY TWP,1014
NJ-053440,2013-2014,MOUNT LAUREL TWP,4170
NJ-053540,2013-2014,NEW HANOVER TWP,194
NJ-053650,2013-2014,NORTH HANOVER TWP,1282
NJ-053690,2013-2014,NORTHERN BURLINGTON REG,2085
NJ-053920,2013-2014,PALMYRA BORO,963
NJ-054050,2013-2014,PEMBERTON TWP,5035
NJ-054320,2013-2014,RANCOCAS VALLEY REGIONAL,2049
NJ-054450,2013-2014,RIVERSIDE TWP,1446
NJ-054460,2013-2014,RIVERTON,304
NJ-054740,2013-2014,SHAMONG TWP,834
NJ-054930,2013-2014,SOUTHAMPTON TWP,729
NJ-055010,2013-2014,SPRINGFIELD TWP,247
NJ-055130,2013-2014,TABERNACLE TWP,762
NJ-055490,2013-2014,WASHINGTON TWP,32
NJ-055720,2013-2014,WESTAMPTON,993
NJ-055805,2013-2014,WILLINGBORO TWP,3901
NJ-055890,2013-2014,WOODLAND TWP,145
NJ-070150,2013-2014,AUDUBON BORO,1546
NJ-070190,2013-2014,BARRINGTON BORO,612
NJ-070260,2013-2014,BELLMAWR BORO,1137
NJ-070330,2013-2014,BERLIN BORO,861
NJ-070340,2013-2014,BERLIN TWP,631
NJ-070390,2013-2014,BLACK HORSE PIKE REGIONAL,3887
NJ-070580,2013-2014,BROOKLAWN BORO,342
NJ-070680,2013-2014,CAMDEN CITY,11660
NJ-070700,2013-2014,CAMDEN COUNTY VOCATIONAL,2201
NJ-070800,2013-2014,CHERRY HILL TWP,11266
NJ-070880,2013-2014,CLEMENTON BORO,457
NJ-070940,2013-2014,COLLINGSWOOD BORO,1875
NJ-071255,2013-2014,EASTERN CAMDEN COUNTY REG,2049
NJ-071720,2013-2014,GIBBSBORO BORO,261
NJ-071770,2013-2014,GLOUCESTER CITY,2055
NJ-071780,2013-2014,GLOUCESTER TWP,6721
NJ-071880,2013-2014,HADDON HEIGHTS BORO,1247
NJ-071890,2013-2014,HADDON TWP,2056
NJ-071900,2013-2014,HADDONFIELD BORO,2549
NJ-072540,2013-2014,LAUREL SPRINGS BORO,190
NJ-072560,2013-2014,LAWNSIDE BORO,278
NJ-072670,2013-2014,LINDENWOLD BORO,2467
NJ-072890,2013-2014,MAGNOLIA BORO,398
NJ-073110,2013-2014,MERCHANTVILLE BORO,378
NJ-073420,2013-2014,MOUNT EPHRAIM BORO,432
NJ-073770,2013-2014,OAKLYN BORO,411
NJ-074060,2013-2014,PENNSAUKEN TWP,5121
NJ-074110,2013-2014,PINE HILL BORO,1908
NJ-074590,2013-2014,RUNNEMEDE BORO,840
NJ-074790,2013-2014,SOMERDALE BORO,527
NJ-075035,2013-2014,STERLING HIGH SCHOOL DIST,897
NJ-075080,2013-2014,STRATFORD BORO,814
NJ-075400,2013-2014,VOORHEES TWP,2994
NJ-075560,2013-2014,WATERFORD TWP,898
NJ-075820,2013-2014,WINSLOW TWP,4931
NJ-075900,2013-2014,WOODLYNNE BORO,368
NJ-090170,2013-2014,AVALON BORO,58
NJ-090710,2013-2014,CAPE MAY CITY,159
NJ-090715,2013-2014,CAPE MAY CO SPECIAL SERV,250.5
NJ-090720,2013-2014,CAPE MAY CO VOCATIONAL,658
NJ-091080,2013-2014,DENNIS TWP,582
NJ-092820,2013-2014,LOWER CAPE MAY REGIONAL,1397
NJ-092840,2013-2014,LOWER TWP,1821
NJ-093130,2013-2014,MIDDLE TWP,2541.5
NJ-093680,2013-2014,NORTH WILDWOOD CITY,322
NJ-093780,2013-2014,OCEAN CITY,2096
NJ-095060,2013-2014,STONE HARBOR BORO,73
NJ-095340,2013-2014,UPPER TWP,1374
NJ-095610,2013-2014,WEST CAPE MAY BORO,78
NJ-095790,2013-2014,WILDWOOD CITY,877
NJ-095800,2013-2014,WILDWOOD CREST BORO,242
NJ-095840,2013-2014,WOODBINE BORO,218
NJ-110540,2013-2014,BRIDGETON CITY,5510.5
NJ-110950,2013-2014,COMMERCIAL TWP,588
NJ-110995,2013-2014,CUMBERLAND CO VOCATIONAL,365.5
NJ-110997,2013-2014,CUMBERLAND REGIONAL,1271.5
NJ-111020,2013-2014,DEERFIELD TWP,340
NJ-111120,2013-2014,DOWNE TWP,194
NJ-111460,2013-2014,FAIRFIELD TWP,604
NJ-111820,2013-2014,GREENWICH TWP,64
NJ-112270,2013-2014,HOPEWELL TWP,512
NJ-112570,2013-2014,LAWRENCE TWP,510
NJ-113050,2013-2014,MAURICE RIVER TWP,417
NJ-113230,2013-2014,MILLVILLE CITY,5802.5
NJ-115070,2013-2014,STOW CREEK TWP,118
NJ-115300,2013-2014,UPPER DEERFIELD TWP,906
NJ-115390,2013-2014,VINELAND CITY,9828.5
NJ-130250,2013-2014,BELLEVILLE TOWN,4468
NJ-130410,2013-2014,BLOOMFIELD TWP,6173
NJ-130660,2013-2014,CALDWELL-WEST CALDWELL,2637
NJ-130760,2013-2014,CEDAR GROVE TWP,1663.5
NJ-131210,2013-2014,EAST ORANGE,9460
NJ-131387,2013-2014,ESSEX CO ED SERV COMM,94
NJ-131390,2013-2014,ESSEX CO VOC-TECH,2196.5
NJ-131400,2013-2014,ESSEX FELLS BORO,205
NJ-131465,2013-2014,FAIRFIELD TWP,644
NJ-131750,2013-2014,GLEN RIDGE BORO,1933
NJ-132330,2013-2014,IRVINGTON TOWNSHIP,6684
NJ-132730,2013-2014,LIVINGSTON TWP,5841.5
NJ-133190,2013-2014,MILLBURN TWP,4904
NJ-133310,2013-2014,MONTCLAIR TOWN,6678
NJ-133570,2013-2014,NEWARK CITY,34980.5
NJ-133630,2013-2014,NORTH CALDWELL BORO,670
NJ-133750,2013-2014,NUTLEY TOWN,4014.5
NJ-133880,2013-2014,CITY OF ORANGE TWP,4826.5
NJ-134530,2013-2014,ROSELAND BORO,461
NJ-134900,2013-2014,SOUTH ORANGE-MAPLEWOOD,6752
NJ-135370,2013-2014,VERONA BORO,2183
NJ-135630,2013-2014,WEST ESSEX REGIONAL,1648.5
NJ-135680,2013-2014,WEST ORANGE TOWN,6868
NJ-150860,2013-2014,CLAYTON BORO,1407
NJ-150870,2013-2014,CLEARVIEW REGIONAL,2490
NJ-151100,2013-2014,DEPTFORD TWP,4362
NJ-151180,2013-2014,EAST GREENWICH TWP,1218
NJ-151330,2013-2014,ELK TWP,359
NJ-151590,2013-2014,FRANKLIN TWP,1388
NJ-151715,2013-2014,GATEWAY REGIONAL,898
NJ-151730,2013-2014,GLASSBORO,2183
NJ-151774,2013-2014,GLOUCESTER CO SPEC SERV,675
NJ-151775,2013-2014,GLOUCESTER CO VOCATIONAL,1319
NJ-151830,2013-2014,GREENWICH TWP,476
NJ-152070,2013-2014,HARRISON TWP,1477
NJ-152440,2013-2014,KINGSWAY REGIONAL,2445.5
NJ-152750,2013-2014,LOGAN TWP,839
NJ-152990,2013-2014,MANTUA TWP,1310
NJ-153280,2013-2014,MONROE TWP,6075
NJ-153490,2013-2014,NATIONAL PARK BORO,269
NJ-154020,2013-2014,PAULSBORO BORO,1171
NJ-154140,2013-2014,PITMAN BORO,1449
NJ-154880,2013-2014,SOUTH HARRISON TWP,370
NJ-154940,2013-2014,DELSEA REGIONAL H.S DIST.,1773
NJ-155120,2013-2014,SWEDESBORO-WOOLWICH,1727
NJ-155500,2013-2014,WASHINGTON TWP,7636
NJ-155590,2013-2014,WENONAH BORO,227
NJ-155620,2013-2014,WEST DEPTFORD TWP,2971
NJ-155740,2013-2014,WESTVILLE BORO,363
NJ-155860,2013-2014,WOODBURY CITY,1506
NJ-155870,2013-2014,WOODBURY HEIGHTS BORO,209
NJ-170220,2013-2014,BAYONNE CITY,9555
NJ-171200,2013-2014,EAST NEWARK BORO,254
NJ-171850,2013-2014,GUTTENBERG TOWN,1022
NJ-172060,2013-2014,HARRISON TOWN,2036
NJ-172210,2013-2014,HOBOKEN CITY,1970
NJ-172295,2013-2014,HUDSON COUNTY VOCATIONAL,2132
NJ-172390,2013-2014,JERSEY CITY,27571
NJ-172410,2013-2014,KEARNY TOWN,5912
NJ-173610,2013-2014,NORTH BERGEN TWP,8051
NJ-174730,2013-2014,SECAUCUS TOWN,2181
NJ-175240,2013-2014,UNION CITY,11457
NJ-175580,2013-2014,WEEHAWKEN TWP,1298
NJ-175670,2013-2014,WEST NEW YORK TOWN,8269
NJ-190020,2013-2014,ALEXANDRIA TWP,500
NJ-190370,2013-2014,BETHLEHEM TWP,449
NJ-190430,2013-2014,BLOOMSBURY BORO,134
NJ-190670,2013-2014,CALIFON BORO,110
NJ-190910,2013-2014,CLINTON TOWN,479
NJ-190920,2013-2014,CLINTON TWP,1550
NJ-191040,2013-2014,DELAWARE TWP,409
NJ-191050,2013-2014,DELAWARE VALLEY REGIONAL,911
NJ-191160,2013-2014,EAST AMWELL TWP,407
NJ-191510,2013-2014,FLEMINGTON-RARITAN REG,3388
NJ-191600,2013-2014,FRANKLIN TWP,291
NJ-191680,2013-2014,FRENCHTOWN BORO,139
NJ-191970,2013-2014,HAMPTON BORO,82
NJ-192140,2013-2014,HIGH BRIDGE BORO,362
NJ-192220,2013-2014,HOLLAND TWP,600
NJ-192300,2013-2014,HUNTERDON CENTRAL REG,2953.5
NJ-192305,2013-2014,HUNTERDON CO ED SER COMM,93.5
NJ-192308,2013-2014,HUNTERDON CO VOCATIONAL,236.5
NJ-192450,2013-2014,KINGWOOD TWP,368
NJ-192530,2013-2014,LAMBERTVILLE CITY,239
NJ-192590,2013-2014,LEBANON BORO,89
NJ-192600,2013-2014,LEBANON TWP,709
NJ-193180,2013-2014,MILFORD BORO,101
NJ-193660,2013-2014,N HUNT/VOORHEES REGIONAL,2770
NJ-194350,2013-2014,READINGTON TWP,1775
NJ-194890,2013-2014,SOUTH HUNTERDON REGIONAL,412.5
NJ-195050,2013-2014,STOCKTON BORO,52
NJ-195180,2013-2014,TEWKSBURY TWP,684
NJ-195270,2013-2014,UNION TWP,497
NJ-195600,2013-2014,WEST AMWELL TWP,234
NJ-211245,2013-2014,EAST WINDSOR REGIONAL,5116
NJ-211430,2013-2014,EWING TWP,3608.5
NJ-211950,2013-2014,HAMILTON TWP,11968.5
NJ-212280,2013-2014,HOPEWELL VALLEY REGIONAL,3694
NJ-212580,2013-2014,LAWRENCE TWP,4011
NJ-213103,2013-2014,MERCER CO SPECIAL SERVICE,635.5
NJ-213105,2013-2014,MERCER COUNTY VOCATIONAL,479
NJ-214255,2013-2014,PRINCETON REGIONAL,3406.5
NJ-215210,2013-2014,TRENTON CITY,10969.5
NJ-215510,2013-2014,ROBBINSVILLE TWP,2949
NJ-215715,2013-2014,W WINDSOR-PLAINSBORO REG,9707.5
NJ-230750,2013-2014,CARTERET BORO,3751
NJ-230970,2013-2014,CRANBURY TWP,546
NJ-231140,2013-2014,DUNELLEN BORO,1136
NJ-231170,2013-2014,EAST BRUNSWICK TWP,8245
NJ-231290,2013-2014,EDISON TWP,14504
NJ-232150,2013-2014,HIGHLAND PARK BORO,1592
NJ-232370,2013-2014,JAMESBURG BORO,667
NJ-233120,2013-2014,METUCHEN BORO,2120.5
NJ-233140,2013-2014,MIDDLESEX BORO,2121
NJ-233145,2013-2014,MIDDLESEX CO REG SER COMM,654.5
NJ-233150,2013-2014,MIDDLESEX CO VOCATIONAL,1968.5
NJ-233220,2013-2014,MILLTOWN BORO,674
NJ-233290,2013-2014,MONROE TWP,6106.5
NJ-233530,2013-2014,NEW BRUNSWICK CITY,8158
NJ-233620,2013-2014,NORTH BRUNSWICK TWP,6164.5
NJ-233845,2013-2014,OLD BRIDGE TWP,8894.5
NJ-234090,2013-2014,PERTH AMBOY CITY,9988
